time,Aphanizomenon flos-aquae,Asterionella formosa,Bosmina longirostris adult,Bosmina longirostris juvenile,Centrales,Ceratium hirundinella,Closterium aciculare,Cosmarium sp,Cyclopoida nauplia,Cyclops abyssorum female,Cyclops abyssorum male,Cyclops sp SU C1-C3,Cyclops sp SU C4-C5,Cyclops sp eggs,Cymbella sp,Diaptomus sp C1-C3,Diaptomus sp C4-C5,Diaptomus sp eggs,Dinobryon sp,Diplostraca eggs,Elakatothrix gelatinosa,Erkenia subaequiciliata,Eudiaptomus gracilis female,Eudiaptomus gracilis male,Eudiaptomus gracilis ovaria,Fragilaria crotonensis,Gymnodinium helveticum,Gymnodinium sp,Nitzschia sp,Pandorina morum,Phacotus lenticularis,Planktothrix rubescens,Rhodomonas sp,Staurastrum sp,Stephanodiscus sp,Tabellaria fenestrata,Ulnaria delicatissima var angustissima
1977-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-01,0.026470999902111002,0.12836312370323089,0.6287935953747659,0.38115410316982834,0.04390358820783101,0.09245003270255589,0.29559878343934454,0.18257418584523172,0.5526314663622228,0.1654386395407078,0.5462011434335377,0.5303414401110363,0.7002454561468694,0.47776654295295456,0.649519052818719,0.310195867975614,0.726634289213979,0.0,0.0,0.5063499223881041,0.0,0.0,0.38256157270581337,0.6924247647178143,0.0,0.042827997268706425,0.5551361100406179,0.11645489089633247,0.29819041864187557,0.0,0.05554603201694982,0.09877118396338622,0.26432556031947674,0.1819686313041653,0.0,0.03804429550659845,0.04378426487365932
1978-02,0.024028466567369067,0.29244045582938544,0.21450220661104563,0.09483368536351641,0.05495260919618409,0.0,0.197065855624096,0.0,0.3095758110014859,0.06711121177153327,0.19128078635290668,0.19563595051722843,0.31100912780454115,0.11887150534341144,0.27950849718443577,0.155097933987807,0.23396556780192068,0.0987886098849509,0.0,0.18947938944484238,0.0,0.05466621503662269,0.0,0.14066595251825903,0.0,0.03761626109511406,0.1373605639835982,0.26515452782327525,0.12435400085088318,0.0,0.0282826551397845,0.08981018463130751,0.37228764186230484,0.08137884587374196,0.051647429983503905,0.064888568445772,0.05682196536651775
1978-03,0.023531843065475497,0.4009131704673418,0.1886844441234193,0.0670575420054539,0.4189669222173473,0.06537204504489535,0.2413553960098466,0.0,0.4675371326365215,0.08219411243006021,0.47153422251160587,0.2080056295927214,0.4774797448167943,0.41441420153607506,0.48412291821453834,0.36796380715171156,0.4211709273075652,0.0,0.0,0.15987800226971843,0.05722103074147582,0.3043686039459391,0.27051188228167106,0.4246943569246629,0.0,0.07018716018222905,0.3269835454872613,0.37498512940334316,0.16450488038516145,0.0819231920553037,0.02137967769201414,0.0873236649857823,0.5764297693823245,0.16275769174748392,0.13555742345875715,0.025649458798892244,0.04141576832682454
1978-04,0.039615515153615846,0.11411493108392697,0.41868533623327076,0.3016156196438511,0.24666888937024967,0.130744090098317,0.0985329278216496,0.0,0.4871376506597991,0.16880735214865836,0.5265235339861877,0.6469677389985413,1.0,0.3780671667953932,0.25000000001358613,0.48304977024596085,0.5940239032442657,0.22174602737167698,0.0300254168856645,0.438511895992377,0.05418054280471363,0.10063468008791165,0.304759071868122,0.31634807333183024,0.5984768402328772,0.09438830883918929,0.3634218921693817,0.19079457430748342,0.5152319064906535,0.11585688926631306,0.030235430153183668,0.21775088104248505,0.5846620971797655,0.1819686313041653,0.08607904997250651,0.016222142111443,0.024604632753605013
1978-05,0.12487659245437255,0.5675390413493184,0.9222769765930048,0.21286859907094202,0.01963428153777366,0.0,0.0,0.34156502554286555,0.7796245667122903,0.0,0.6072049735556931,0.6423062064556363,0.38803715211806106,1.0,0.17677669528703002,0.3471396612172454,0.9776856811687465,0.0,0.3067095289055896,1.0,0.04381079543571619,0.0,0.0,1.0,0.0,0.5414215843051816,0.23791547576086255,0.07789155879579057,0.0,0.30652851669336606,0.0,0.038316523797794814,0.624561748911171,0.24413653759292187,0.07699144287085039,0.07344887228893014,0.0
1978-06,0.11555487365094194,0.2520248603774059,1.0,1.0,0.02658494287905295,0.0,0.0,0.31622776601683794,0.7985913606244877,0.0,0.0,0.6516668697890814,0.3592363240229821,0.3780671667953932,0.0,0.1735698306086227,0.33735806065637763,0.0,0.09549491494978607,0.4528500532535105,0.2849188106957433,0.048211070038021435,0.0,0.0,0.8431620068515344,0.4513661073082434,0.27472112791507847,0.07789155879579057,0.0,0.16384638409477778,1.0,0.018318802181631035,0.41037966589742353,0.26990309766096576,0.0455487518639907,0.0584897651778025,0.0
1978-07,0.049694637557898554,0.04724807025807884,0.30323656487257156,0.21335552749765227,0.300239773966828,1.0,0.2413553960098466,0.7416198486795035,0.46271194064496535,0.06762548145135333,0.0,0.5658354969675253,0.48641108609986583,0.2386556551584949,0.3307189138959115,0.10956630270427012,0.31653559097945166,0.0,0.09675741433811803,0.23754845462070034,0.06463347998600978,0.10307960361430656,0.0,0.31646833491128634,0.0,0.024009885374551343,0.3634218921693817,0.09996430483510871,0.5595930037714064,0.5850486127716525,0.3327614795581094,0.04168713592402699,0.4679048099911984,0.592446940542019,0.06441566263042156,0.016222142111443,0.017398102666742372
1978-08,0.13603168358185108,0.17221720222829182,0.2066087942025882,0.19732860374036895,0.14405908435754192,0.2923526730971286,0.4725473212993309,1.0,0.5648938333500444,0.08052116175176957,0.4598789429026934,0.7944739771578933,0.5019019240314792,0.4041708020310765,0.25000000001358613,0.16059257136315433,0.45614796127143564,0.0,0.05617241142953669,0.45288082902952137,0.07951529805532156,0.21866486015969439,0.0,0.4139342894997944,0.9030966492677148,0.2619169274716064,0.3719741656565773,0.1451081951363027,1.0,0.30652851669336606,0.13689673242607694,0.2899145264223481,0.7297563830811048,0.5519381863741297,0.19854240637643011,0.0,0.09892979953506764
1978-09,0.5921378477364494,0.11411493108392697,0.2066087942025882,0.16122033017067047,0.03759678677199413,0.19611613514037027,0.4062616689541329,0.3651483716599344,0.4218440799077952,0.08052116175176957,0.0,0.37187399287122036,0.2826111588439311,0.6388071181068233,0.0,0.16059257136315433,0.3606509370330086,0.0,0.03677347533647539,0.5546885994990529,0.0,0.05153980180995419,0.0,0.23913666564613062,0.6373705671208529,0.23463444732601713,0.30714755847172703,0.056674433702436626,0.05076730825235768,1.0,0.09738906677585536,0.24084050071167895,0.4070386632663678,0.38170062119338954,0.02434683198146202,0.08885233163603279,0.010044799258591435
