,R,C1,C2,P1,P2
0,0.5709522082844909,-0.42414488459989075,0.20961228977898672,0.6221788782544795,-0.4626736747771194
1,0.5792622590795107,0.09591245074099097,0.5200988381374734,0.2865057884504667,-0.3307562617967834
2,-0.18041314684782517,0.3350071949899207,0.17256712941276242,0.8203142794780964,0.8728462945789497
3,-0.9194676000135569,0.10759784128454575,-0.9262050266660529,-0.18871918520782494,-0.6741331539001787
4,0.7867921964015718,0.34060965171841495,-0.1878408226584043,0.05728421549437934,0.2890479076452286
5,0.18547316300980254,0.9824278824426271,0.20858558984332132,0.5552162228297637,0.8653947378871012
6,0.10528533879155466,0.7462819323109946,0.19938591281022466,0.3789466759700062,0.9339712531540558
7,0.360582057794008,0.6647755577357886,-0.378665942653877,0.20429464526578722,0.9821693817798121
8,0.38623927448928996,-0.05663135617872417,-0.2973168040338381,-0.42843723882116724,-0.264223834586369
9,-0.9820178932101649,0.7159053647833222,0.021647686885331252,0.279250307380734,-0.4695491389090032
10,-0.8286777917959793,0.12492563701987547,0.6917591131251168,-0.9957056572529741,-0.005304429758919316
11,0.327920200856487,0.49544288333917863,-0.2014482140453251,0.2845042683605228,0.6894874308563403
12,-0.9957441260680655,0.13010612046287306,0.5767627071267476,-0.26313810361753576,0.7845927923520957
13,-0.420229619393387,-0.6399845519953662,0.5329877673274466,-0.412781896065344,-0.35658783118311566
14,-0.14329698973952576,0.6485150552320451,-0.877029028350389,-0.4365056638379019,0.6562577563988943
15,-0.2762033538307995,-0.45707039579941044,0.2089195520389664,0.4677696718784161,0.02296755645609161
16,-0.4948240615067896,0.42169640076185133,-0.8202132016456436,-0.7897163571320236,0.6285286656321127
17,-0.5863594717318465,0.24836528381821643,0.08397198708714249,-0.4309480969817545,0.387654542385782
18,-0.40970444688059016,-0.9050430643129528,-0.3596717277005841,0.6252700065195211,-0.2059288885270305
19,0.6098627851922511,0.5425873925117128,0.23493486225700888,0.6275207438177417,0.9641984685388918
20,-0.6572134429443464,0.6225904455530165,-0.8963166700839655,0.7480275689521068,-0.20464910366200662
21,-0.22372850010532197,0.8058127786438121,0.3926007669070357,-0.053033731148879326,0.25864177331006055
22,-0.8403344578234837,-0.7274248216256844,0.41840761630804146,-0.7771093368057918,-0.700963841680285
23,-0.05132465439786249,0.09330423753611417,-0.3170982671049163,-0.4800628815467787,0.8736266006993594
24,0.8579942786062738,0.18301707826165092,-0.1987907865163303,-0.3210660559395515,0.3456846463968781
25,-0.09722876847227524,-0.6225650895087118,0.5804516606114503,-0.006896196157837098,-0.2731173861591465
26,0.7853594731120155,0.8155696109039852,0.9585135840833376,0.9352006997893128,0.05355964522607448
27,0.36039986032527693,-0.6865552272703188,-0.8578815733123242,-0.5720346376492862,0.102264050636655
28,-0.22199146186560315,0.16259969243557526,0.5053251175719087,0.1041507166364164,0.7874130073515859
29,0.05667771783358044,0.086287543964507,-0.9441332683510424,0.6960962076170345,0.3491990225891579
30,0.37505878073731025,-0.013504630310933852,0.8799355498057428,-0.2750267975092502,0.9399557061660808
31,-0.7874371735898105,0.24139615861850006,0.7482876968124617,-0.8883849745567443,0.7685508349460013
32,-0.8111512569270094,0.16035738521105314,-0.9090785664304146,-0.22361993418943382,-0.5291615237546712
33,-0.07159613325823222,-0.7574661445164708,-0.4636321759197315,-0.4003492149579997,-0.4781924639618025
34,0.7884387886071635,0.559602965818554,0.8767706839379872,-0.6420194354171103,0.3071691084774091
35,-0.47714564537279114,-0.04516853800549314,0.740100026761622,0.12846038670392645,0.04238598427140294
36,-0.7540529519340031,0.7877634220399063,-0.4837103106490026,0.260557364709302,-0.18070418071866645
37,0.7219351718662321,-0.7911067434870842,-0.8868366358500854,0.8158356249170338,-0.19159561233245204
38,-0.7699252405308208,-0.14212269274013578,-0.09193318158344721,-0.3265413957658354,0.4762518224225174
